"Question","Answer"
"Why is my withdrawal request partially approved?","Your withdrawal request might be partially approved due to the following reasons:\n\n- New Trades: You entered into new trades after placing the request. Example: If you had Rs. 1000 and placed a withdrawal request at 11 am for Rs. 1000, but then bought shares worth Rs. 500 at 2 pm, you will receive Rs. 500 (minus brokerage and charges).\n- Margin Requirements: You have margin requirements in your account.\n- Accrual Charges: You have pending accrual charges on your account."
"Why is my withdrawal amount not credited instantly?","Withdrawal requests are not credited instantly because they are processed in batches to account for any trades you might have entered on that day. These requests are processed after trading hours, considering your buy/sell transactions."
"Why is my money not credited to my bank account even though the withdrawal request is approved?","If your withdrawal request is approved, it indicates that Angel One has instructed your bank to credit the amount.\n\nPlease wait till the expected time mentioned on the app. If the time has passed, please wait for 5-6 hours. You can also check your bank statement and contact your bank."
"Why is my withdrawable balance different from the available trading balance?","The difference between your withdrawable and trading balance could be due to the following reasons:\n\n- When you enter a trade, your trading balance changes in real-time but the withdrawable balance is updated at the end of the day.\n- Funds from sell transactions can be withdrawn on T+1 day (the next working day).\n- You cannot withdraw funds on the same day you added them; you can withdraw them on the next working day."
"Why is my withdrawal amount not credited to my bank on time?","The delay in crediting your withdrawal amount can be due to the following reasons:\n\n- Bank Delay: Angel One has approved your request, but there’s a delay at the bank’s end. Please wait for 4 hours or directly contact your bank in this case.\n- New Trades: If you entered into new trades after placing the withdrawal request, it can delay the settlement and processing. Please wait for 24 hours for processing and approval.\n- Non-Trading Days: Withdrawal requests are processed only on trading/working days. For example, if you placed a request at 6 pm on Thursday, and Friday and the next Monday are holidays, your funds will be credited by 11:30 am on Tuesday. Consider weekends and trading/settlement holidays when planning your withdrawal.\n- High Volume of Requests: In rare cases, a high number of requests can delay processing from Angel One. Please wait for 6 hours from the cut-off time and reach out for support."
"When can I withdraw funds after selling my shares?","You can withdraw money from your sell transaction on T+1 day, except for Saturday, Sunday, and Trading/Settlement holidays.\n\nFor example, if you sold your shares on 14th August, the amount from the transaction will be available for withdrawal on 16th August, since 15th August is a trading holiday."
"When will I get money in my bank account after placing a fund withdrawal request?","We process your fund withdrawal request as per the below timeline:\n\nDays | Payout Request Time | Funds Credited By (approx)\nMonday to Friday | 12:00 am – 07:00 am | 11:30 am, Same Day\n07:00 am – 05:30 pm | 11:30 pm, Same Day\n05:30 pm – 12:00 am | 11:30 am, Next Working Day\nSaturday, Sunday | Anytime | 11:30 am, Next Working Day\nTrading/Settlement Holiday | Anytime | 11:30 am, Next Working Day"
"What is quarterly settlement of funds or SEBI payout?","The quarterly settlement of funds is a SEBI requirement for all stockbrokers to settle client funds lying in trading accounts at least once every quarter. The funds are transferred back to the primary bank account mapped to your Angel One account."
"Why were my funds withdrawn and credited to my bank account even though I didn’t place a request?","There are two reasons why this could happen:\n\n- Quarterly Settlement: As per the SEBI guidelines, all stockbrokers are required to transfer the funds lying in the client account back to their bank at least once every quarter. The funds will be transferred back to the primary bank account mapped to your Angel One account.\n- Fund Settlement Frequency: Your fund settlement frequency might be set to daily settlement. You can edit it by visiting Account → Profile → Fund Settlement Frequency in our mobile app."
"Suggest me stocks for long term investment?","Angel One provides you recommendations through advisory services. Based on extensive research, we provide portfolio and single stock advisory.\n\nTo explore the more you can check Single stock advisory on the home screen of Angel One web or mobile platform. Here you will find suggestions for Intraday, Short and Long term stocks.\n\nYou can explore the Portfolio advisory if you want to buy a group of stocks."
"Suggest me some stocks for short term or intraday?","Angel One provides you recommendations through advisory services. Based on extensive research, we provide portfolio and single stock advisory.\n\nTo explore the more you can check Single stock advisory on the home screen of Angel One web or mobile platform. Here you will find suggestions for Intraday, Short and Long term stocks.\n\nYou can explore the Portfolio advisory if you want to buy a group of stocks."
"Recommend me some best growing stocks?","Angel One provides you recommendations through advisory services. Based on extensive research, we provide portfolio and single stock advisory.\n\nTo explore the more you can check Single stock advisory on the home screen of Angel One web or mobile platform. Here you will find suggestions for Intraday, Short and Long term stocks.\n\nYou can also explore the Portfolio advisory on the home screen if you want to buy a group of stocks."
"What are the charges for recommendations?","We don’t charge any fee for recommendations. The usual trading charges will be levied when a user takes a trade."
"What are recommendations?","Recommendations are stocks suggested by Angel One to help you minimize risk and maximize profit.\n\nYou can see the recommendations by visiting https://www.angelone.in/trade/home\n\nYou will find the recommendations under “Top Stock Picks via Advisory” section on this screen."
"Why is my withdrawable balance not updated?","Your withdrawable balance is updated once every morning, after adjusting for all the transactions made on the previous trading day. This balance can be different from the trading balance, which changes in real time."
"Are there any charges on using Trade One feature?","No, Trade One feature is completely free."
"Why do I see charges on delivery trades? I thought it was free.","From 1 November 2024, brokerage charges for equity delivery trades will be levied at flat INR 20 or 0.1%+ GST whichever is lower per executed order (minimum brokerage of INR 2 will be levied).\n\nAdditionally, there will be regulatory charges such as STT, GST, Stamp duty, etc. charged by the exchanges. These charges are the same for all trading platforms.\n\nYou can see what Angel One charged you by visiting Account → Trades and charges → Total charges or View the detailed charges screen on the Angel One platform."
"Are there any brokerage charges on delivery trades?","From 1 November 2024, brokerage charges for equity delivery trades will be levied at flat INR 20 or 0.1%+ GST whichever is lower per executed order (minimum brokerage of INR 2 will be levied)."
"How can I see today’s charges?","The charges for today’s trades will be updated in your account after 1-2 working days. This is because, the charges from regulators or external charges are settled at the end of trading day. Angel One receives those charge details from regulators and updates them in a couple of days.\n\nYou will be able to check the charges by visiting Account → Trades & Charges screen on the platform."
"What are the brokerage charges for different securities?","Equity delivery: From 1 November 2024, Angel One charges brokerage of ₹20 or 0.1% per executed order whichever is lower (minimum brokerage of ₹2) for equity delivery trades.\n\nEquity intraday: For equity intraday, a brokerage charge of ₹20 or 0.03% per executed order whichever is lower will be applicable.\n\nFutures and Options: For F&O, ₹20 per executed order will be applicable as brokerage."
"How can I check brokerage and other charges in my Angel One account?","You can check the charges by clicking ‘Trades & Charges’ on the ‘Account Section’ of the app. Here, you can see both trade and non-trade charges (including charges by Angel One and external charges). Click here to know more about all the applicable charges."
"What are DP charges at Angel One?","Depository Participant (DP) charges are combined charges imposed by CDSL and Angel One on every sell transaction of equity delivery shares. Please note that DP charges are not applicable on intraday trades or delivery buy transactions. The details are as below.\n\nEquity delivery: Rs. 20+GST per sale transaction, split as below.\n\n(Male – INR 3.5 (CDSL) + INR 16.5 (Angel One Charge))\n\n(Female – INR 3.25 (CDSL) + INR 16.75 (Angle One Charge))\n\nFor example, If you sell 100 shares of TCS on Monday at 10 am and again sell 50 shares later in the day, DP charges will be applicable twice. The total DP charges levied in this case will be Rs. 47.2."
"Where can I check my BSDA status?","You can check your BSDA status in client master list (CML). However, we don’t have a facility to download the CML from our platform. We are working on making it available to you soon."
"What are BSDA and non-BSDA accounts?","BSDA accounts provide limited services at a lower cost to retail account holders. Your account will be automatically a BSDA if it fulfills both the below conditions:\n\n- You have only 1 Demat account across all stock brokers.\n- The value of holdings in your account is less than 10 lakh.\n\nNon-BSDA accounts are those that do not fulfill the above-mentioned criteria of BSDA."
"How much is the account maintenance charge on Angel One?","Account maintenance charges for the first year are 0. However, from the 2nd year onwards:\n\nNon-BSDA Clients – Rs. 60+ GST billed every quarter (Charged after your first trade each quarter).\n\nFor BSDA Clients:\n- If the holding value is less than 4 lakh, AMC is 0.\n- If the holding value is between 4 lakh and 10 lakh, AMC is Rs. 100+GST billed every year."
"Where can I check the Account Maintenance Charges levied to my account?","You can easily check the AMC charges levied to your account in the Angel One app. Please visit Account → Trades and Charges → Other Charges screen and select the desired data range to check the AMC charges."
"What is Account Maintenance Charge (AMC) at Angel One?","Account Maintenance Charge (AMC) is a fixed quarterly charge that is billed to your account. Account maintenance charges for the first year are 0. However, from the 2nd year onwards:\n\nNon-BSDA Clients – Rs. 60+ GST billed every quarter (Charged after your first trade each quarter).\nFor BSDA Clients:\n- If the holding value is less than 4 lakh, AMC is 0.\n- If the holding value is between 4 lakh and 10 lakh, AMC is Rs. 100+GST billed every year."
"What are transaction/turnover charges?","Transaction/Turnover charges are charges that are levied by the Exchange on the turnover from every trader to provide them with the technology platform to buy & sell securities."
"What are Stamp Duty charges?","Stamp duty is a direct tax levied on trading in stocks, currency derivatives and commodities, payable under Section 3 of the Indian Stamp Act, 1899."
"What are Securities Transaction Tax?","Securities Transaction Tax is a direct tax charged on the purchase and sale of securities that are listed on stock exchanges.\n\nBuy and Sale of equity delivery shares: 0.1% per executed order\nSale of equity intraday shares: 0.025% per executed order\nSale of futures in securities: STT shall be revised to 0.02% from 0.0125%\nSale of options in securities: STT shall be revised to 0.1% of premium from 0.0625%"
"What are SEBI Charges?","SEBI charges are fees levied by SEBI for sale and purchase transactions in all types of securities."
"What are the charges for pledging and unpledging shares?","A fixed transaction fee of ₹20 + GST is charged for each pledge and unpledge request, regardless of the number of shares. The split is as follows:\n\nINR 5 (Depository) + INR 15 (Angel One Charge) + GST\n\nFor example, if you want to pledge 100 shares of ABC Ltd. and 50 shares of XYZ Ltd., you will be charged ₹40 + GST for 2 requests, irrespective of the number of shares in each request."
"What are Call & Trade Charges?","Call & Trade charges are applicable if the transaction is done over a phone call. Charges for Call & Trade are Rs 20+GST per executed Order. They are levied only after the execution of a trade."
"What is my current brokerage plan?","You can check your brokerage plan in the Angel app. Navigate to the Account → Profile → Brokerage & Charges screen on the app. You will be able to see your brokerage plan and corresponding charges here."
"How can I know my brokerage plan?","You can check your brokerage plan in the Angel app. Navigate to the Account → Profile → Brokerage & Charges screen on the app. You will be able to see your brokerage plan and corresponding charges here."
"When will I get my brokerage cashback?","Brokerage Discount is offered to certain new customers for the first month only. Below are the Terms & Conditions:\n\n- This is a one-time and exclusive offer for new customers and might not apply to all users.\n- The validity of free brokerage is 30 days on all trades from the date of account opening, with an upper limit of ₹500.\n- Brokerage will not be charged; it will simply be discounted if applicable on a certain trade.\n\nPlease note: Angel One reserves the right, in its absolute discretion, to change, alter or discontinue the offer and shall communicate the same to the client via email."
"What are the charges for Auto Square Off?","The charges for Auto Square Off are Rs 20 per executed order."
"What are the charges for pledging of shares?","Pledging of shares is charged a flat transaction fee, irrespective of the quantity pledged. A fixed transaction fee of ₹20 + GST is charged for each pledge and unpledge request, regardless of the number of shares.\n\nThe split is as follows:\n- INR 5 (Depository)\n- INR 15 (Angel One Charge)\n- + GST"
"Where can I check the breakup of the Interest charged to me?","Tap on Account at the bottom of your screen.\n- Click on Statement\n- Click on the transaction in which Interest is charged\n- Click on 'View details' to see the Interest charges break-up for your account"
"When will Delayed payment charges (DPC) be charged to me?","Delayed payment charges on the debit amount will be charged to you on a daily basis.\nHowever, the same will be updated in your ledger every 15 days."
"What are the charges for Delayed payment?","Delayed Payment charges are billed at an interest rate of 18% p.a on the debit amount."
"What are Penal/Delayed payment charges?","Delayed Payment Charges (DPC) are the charges levied to clients; on the overall ledger debit from Trading day +2."
"What is the duration of Off-MKT charges?","Off-MKT charges are charged on a daily basis whenever you transfer any scrip from your demat account to another demat account."
"What are the charges for Off-MKT transactions?","Off-MKT transactions are a flat transaction fee of Rs 20 (+GST).\nThis fee is charged per scrip and not as per volume.\nHence, they remain the same whether you transfer 1 share or 100 shares."
"What are Off-MKT transactions charges?","Off-MKT transactions charges are applicable when you transfer shares from one demat account to another."
"What is the GST rate?","The GST rate for Stock broking service is 18%."
"What is Goods & Service tax (GST) invoice?","Stock brokers provide broking service, and hence are liable to pay Goods & Services tax, which is covered in the GST invoice."
"What should I do if I am living in other timezones from India and my chart is not updating real time or candles are not forming improperly?","If the charts are not working correctly in other timezones, try to come in Indian timezone and check the functioning of charts.\n\nOur team is working to give a more flexible and permanent fix for this."
"Price is not updating realtime on charts on the Angel one web app. What should I do?","Always check system timezone is in sync with your chart timestamp. Also device timezone is synced with IST."
"My Chart view is not loading in Angel One mobile app. What should I do?","Open application settings and clear cache and clear data. Once cleared, chart should load."
"My Chart view is not loading in Angel One web app. What should I do?","Go to settings -> privacy and security -> clear browser history."
"My chart is not loading and showing 'Something went wrong'. What should I do?","Open Playstore\nSearch for Google Chrome on Playstore\nUpdate Google Chrome or your default browser to the latest version\nThe chart should load successfully now\n\nIf the chart loading fails & issue still exists:\nOpen Playstore again\nSearch for Android System Webview\nClick to Update the Android System Webview to the latest version."
"Where to find Drawing tools on charts?","On Web or on Mobile platforms, click on blue arrow button that is present on left side of the charts – by clicking on it, it will give an expanded view of the drawing tools available."
"Why are my drawings not getting retained on charts?","All Drawings under templates are stored inside the local storage. If you login through other devices, you won’t be able to view previously saved drawings on other device/browser."
"Are indicators and drawings on charts free or paid?","All the indicators are absolutely free on the Angel One."
"How to interpret Boring and Explosive Indicators?","Absolute (OpenPrice – ClosePrice) / Absolute (HighPrice – LowPrice) < 0.5, Colour it as Boring Candle\nAbsolute (OpenPrice – ClosePrice) / Absolute (HighPrice – LowPrice) > 0.5, Colour it as Explosive Candle\nIf the value = 0.5 , do not change the candle colour."
"How to interpret ORB Indicator?","Opening Range Breakout – Opening Range is high and low price range of the 1st candle in Intraday period specified. Any following candle after that first candle breaking the upper range is Buy Signal and breaking the lower range is Sell signal."
"How to interpret settings for Bollinger Bands?","Bollinger Bands are a technical analysis tool used by traders and investors to help interpret and analyze price volatility and potential price reversals in financial markets.\n\nYou can check out how to interpret Bollinger Bands in this article."
"Is multi chart view available on both - web & mobile?","No, it is right now only available on web app."
"Is multi chart functionality free or paid?","Multi chart feature is absolutely free on Angel One."
"How do I compare multiple scrip/contract on the chart view?","Multi Chart View Guide – We have introduced Multiple chart layout in our web app view as of now.\n\nUsers can select the multiple chart layout from the select layout icon on the chart header. When we will select any scrip, it will get populated on the selected frame.\n\nUsers can then compare different scrip on a multi chart view."
"How to use Multi Chart functionality on Angel One web app?","Please find the details of multi chart functionality in this article."
"Is Chart IQ available on web?","No, Chart IQ is not available on web as of today. Chart IQ is available only on mobile app. We are working on making it available to you on web soon."
"Where can I find Chart IQ?","On the Angel One mobile app, you can find the Chart IQ interface by going to Account > Settings > Scroll down to Charts and choose ChartIQ. Please note that you can change the chart version only on the mobile version and not on the web app.\n\nWe are working on making ChartIQ available on Web as well."
"Chart Price scale is changed to logarithmic values. How can I change it back to default settings?","Follow these steps to adjust your price scale to regular:\n\n1. Open the chart and check the price scale on the right-hand side of the chart.\n2. Below it, you will find a settings icon (shaped like a sun).\n3. Click this settings icon.\n4. Thereafter, a menu with different options will appear.\n5. Click on ‘Regular’ to bring the price scale back to the default setting."
"How to interchange between Chart IQ and Trading View chart in Mobile App?","On the Android and iOS mobile version, you can simply go to Account > Settings > Scroll down to Charts and choose between ChartIQ or TradingView. Note that you can change the chart version only on the mobile version and not the web application."
"What are the surveillance measures under ASM?","Please find the detailed surveillance measures under ASM here."
"When will a scrip get out of ASM/GSM?","Every 2 months in the case of ASM and every quarter in the case of GSM, the stock can go in and out of the list based on the review carried out by the exchange."
"When will a scrip be classified under GSM?","On the basis of below-mentioned pointers, Regulatory Body and the Exchanges make their decision of adding a scrip under GSM category:\n\n1. Periodic Call Auction Session for Illiquid Securities\n2. Periodic Review of Movement of Securities to/from Trade for Trade\n3. Persistent Noise Creators\n4. Rumour Verification and Clarification in case of Spurt in Price/Volume"
"What is the basis of categorizing a scrip under ASM?","SEBI and Exchanges jointly decide the objective criterion to shortlist securities under ASM based on the following parameters:\n\n1. High Low Variation\n2. Client Concentration\n3. Close to Close Price Variation\n4. Market Capitalization\n5. Volume Variation\n6. Delivery Percentage\n7. No. of Unique PANs & PEs"
"What is the difference between ASM and GSM?","The main aim of the ASM framework is to control stock volatility, while the primary objective of GSM is to protect the investors from underperforming stocks by not allowing intraday trading and to advise them to be extra vigilant while dealing with securities that are witnessing unusual price fluctuations. Both these frameworks are introduced with different objectives, but their main goal is to protect traders and investors."
"What is GSM?","GSM or Graded Surveillance Measure is a system used by Indian Stock Exchanges like NSE and BSE to alert traders/investors and ask them to be extra cautious while dealing in certain securities which have been categorized under GSM. Scrips can be classified under GSM due to abnormal price hike that doesn’t match with the company’s financial health, are illiquid, have negligible market capital, and are underperforming."
"What is ASM?","SEBI (Securities and Exchange Board of India) along with the stock exchanges have initiated an Additional Surveillance Measure or ASM to safeguard investors’ interests by ensuring there are no market speculations or manipulations like unexpected price movements. The stocks are categorized under ASM for surveillance based on criteria specified by NSE here."
"What is a surveillance measure?","Market surveillance plays a key role in ensuring safety and integrity of the markets as it is the process of prevention and investigation of abusive, manipulative or illegal trading practices in the securities markets. Surveillance Measure is an initiative by the regulatory bodies and exchanges to protect traders and investors by monitoring price and volatility and detecting misleading activities like insider trading, fictitious transactions, and more."
"Why are certain scrips allowed to trade only 2 times in a financial year?","This criteria is removed from Angel One."
"Why am I allowed to buy/sell limited quantity?","Buying/selling is limited to a particular quantity due to illiquid counters and dry volumes. This restriction also safeguards clients from excess losses."
"Why am I unable to buy/sell SME shares?","If the client has bought SME shares through IPO, selling is allowed. However, buying is completely blocked as per the risk and management decision to safeguard clients from undue losses occurring due to illiquid counters."
"Why are some scrips blocked from trading in Options?","Trading is restricted for certain scrips to protect clients from undue loss arising due to liquid counters."
"What are Insolvency and Bankruptcy Code (IBC) and Inter Creditor Agreement (ICA)? What happens when a stock is under the surveillance of either of these codes?","Insolvency Bankruptcy Code (IBC):\nThis law is incorporated to handle insolvency and bankruptcy cases. When a stock is under surveillance for IBC, it means the company is going through an insolvency procedure. For some of these stocks, trading may still be allowed subject to the stage of surveillance.\n\nInter Creditor Agreement (ICA):\nAn agreement between various lenders and a single borrower that describes their rights and obligations in case of a default is ICA. When a company has entered into ICA to restructure the debt, its stock comes under the surveillance. In these cases, trading in the stocks might be allowed but with certain restrictions in place."
"Can I trade in scrips categorized as unsolicited?","No, trading in unsolicited scrips is restricted at Angel One. Click here to know more unsolicited investment tips."
"How much margin is charged for ASM/GSM scrip?","The applicable margin while placing orders for ASM/GSM scrip will be 100% in all stages while the price band fluctuates.\n\nFor GSM: In Stage 1, the applicable margin shall be 100%, while, from Stage 2 onwards, an Additional Surveillance Deposit of 50% or 100% will be applicable based on GSM stage.\n\nNote: Please know that clients will not be able to buy stocks that are in stage 2 of GSM or higher. These stocks will require Additional Surveillance Deposit (ASD) of 100% of the trade value or more and this margin will remain blocked by the exchange at least for 2 months even after the stock is sold."
"Why is a particular scrip or scrips blocked from trading?","To safeguard the clients from undue loss arising due to monitoring price and volatility and detecting misleading activities such as insider trading, fictitious transactions, and more, particular scrip and scrips are blocked from trading."
"Does Angel One allow buying and selling of scrips under ASM and GSM?","Yes, we allow buying and selling of scrips under ASM and GSM, owing to certain rules and regulations. At Angel, trading is allowed in ASM scrips, while in the case of GSM, only scrips categorised under 0 and 1 are allowed for trading."
"Where can we see the complete list of securities under ASM/GSM?","The ASM and GSM lists change from time to time. You can see or download the current securities list from the table below.\n\nExchange\tCategory\nNSE\tASM Stocks\nNSE\tGSM Stocks\nBSE\tASM Stocks\nBSE\tGSM Stocks"
"What is DigiLocker?","DigiLocker is a government initiative under the Digital India project for storing and verifying documents like PAN card, driving license, Aadhar card, school marksheets, and insurance papers."
"Do I need a physical copy of my Aadhar?","No, a physical copy is not required. We use secure platforms like DigiLocker and CKYC for verifying your Aadhar and other documents."
"Why is my Aadhar required?","Aadhar is mandatory for identification and KYC setup for your account, necessary for processing your FD request."
"What should I do if the name shown against my PAN is incorrect and I can't update it?","The name linked to your PAN should be accurate for successful identity verification and KYC purposes. Please update your name to match your PAN."
"Why is my PAN not getting verified?","For booking fixed deposits, we need to verify your PAN with the regulated authorities. If there is a mismatch, the booking cannot be completed."
"Can I invest in FD if I do not have a PAN?","No, currently, we only process fixed deposit requests for individuals with an active PAN."
"Can I retry the registration if it was not successful earlier?","Yes, you can retry. Ensure you use the SIM linked to your bank account for authentication."
"Can I link any SIM for FD purchase if I have a dual SIM phone?","Yes, you can. However, we recommend using the SIM registered with your bank account for authentication."
"Why are permissions to send SMS and access phone state required?","These permissions are needed to verify your mobile number by sending an SMS. Rest assured, these permissions are used solely for verification purposes."
"Can I continue if the mobile number linked to my bank is different from the one registered with the app?","No, your details, including your mobile number, must match those verified by our banking partner. A mismatch will result in your application being rejected by the bank."
"Why do I need to verify my mobile number?","Verifying your mobile number helps us create a secure account for you, ensuring a smooth app experience and the safety of your account."
"What is required for completing a video KYC?","Keep your PAN Card and a blank paper with a pen ready for the VKYC process."
"Why is my money deducted before video KYC?","Your money is deducted before video KYC as it is the last step to verify your identity and book your FD. Your money is safe with the bank, and interest starts accumulating from the time of payment. In case of issues with VKYC, your money will be refunded within 7 working days."
"Why are details related to occupation, income, and family required for FD booking?","These details are required by the bank to create your fixed deposit and ensure communication if needed."
"What should I do if I can't move to the next step and complete my KYC verification?","Retry using the correct details. If it still doesn’t work, try again later. If the issue persists, raise a ticket with our support team for assistance."
"How will I know the status of my video KYC?","Your video KYC details are verified by bank officers, which may take up to 3 hours. Track the video KYC and FD confirmation status on the ‘My Investments’ tab."
"What if video KYC fails?","You can retry during banking hours within 2 days of FD booking if your video KYC fails."
"When can I complete the Video KYC?","Video KYC is available from Monday to Saturday, 09:00 AM to 08:00 PM. We will notify you to complete the video KYC during these hours if pending."
"What if I am not available during bank working hours?","If you have made the payment, we will notify you when the bank officers are available. If video KYC is not completed within 3 days, your money will be refunded to your bank account."
"Why is video KYC required?","Video KYC is required to complete the KYC verification step as mandated by the RBI."
"Can my permanent address be the same as my current address?","Yes, you can select your permanent address as your current address if they are the same."
"What should I do if I can't change my permanent address?","The address from your Aadhar is considered your permanent address. You may add or select your current address to proceed with the FD application."
"How can I add a new address as my current address?","Use the “add” button on the address choice screen to add an address that is not listed."
"What should I do if there's a name mismatch and I can't complete the step?","For successful FD booking, the name on your Aadhar and PAN should match. Correct the details on either your PAN or Aadhar card and retry."
"What is a tax resident of India?","A person is considered a resident of India if they have spent either:\n\n- 182 days or more in India during the financial year, or\n- 365 days or more in India during the four preceding years and 60 days or more during the current financial year."
"What details will be accessed from Digilocker for FD booking?","We will use the Digilocker facility to validate your identity and complete KYC by verifying documents like Aadhar and PAN."
"What is CKYC, and why do I need to consent to fetch CKYC data?","CKYC stands for Central KYC (Know Your Customer), an initiative by the Government of India to streamline the KYC process by making all relevant information available in one place. With your consent, we can access this information for a faster and safer onboarding experience."
"How safe is it to share my data using consents?","Your data is only used for account creation and KYC purposes, and it is not shared with any third parties. The safety of your information is our top priority."
"How can I avoid giving the required consents?","To ensure a smooth and secure onboarding process, we require certain permissions to fetch and validate your personal details and for KYC purposes. These permissions are only used for account creation and validation."
"Can I book an FD as a minor?","Currently, we are not able to process fixed deposit requests for minors."
"Can I book an FD as an NRI?","Currently, we are not able to process fixed deposit requests for NRIs."
"What additional benefits can I avail as a senior citizen?","Most banks and NBFCs offer an additional interest rate of up to 0.5% over the regular fixed deposit interest rates for senior citizens, making it even more attractive for you."
"How can I book another FD if I already have one running?","Yes, you can invest in multiple Fixed Deposits (FDs) with different providers. You can also have multiple FDs with the same provider."
"How are FDs taxed?","Interest earnings from your fixed deposit are taxed according to your tax slab. For example, if you are in the 20% tax bracket and you earned Rs 6,000 interest from a 1-year FD of Rs 1 lakh at 6%, you will pay 20% of Rs 6,000, which is Rs 1,200, as tax."
